,p_before,p_chamber_pressure_predischarge,t_cd_discharge_request,U_Bt_final,U_CD_final,b_plasma
41685,6.34,16.30,"1000
",816,526,0.000
41686,2.30,15.50,"1000
",820,503,1.000
41687,2.87,5.37,"0
",227,227,0.000
41688,2.58,5.07,"0
",223,223,0.000
41689,2.35,4.77,"0
",225,225,0.000
41690,2.20,4.55,"0
",233,233,0.000
41691,2.12,4.48,"0
",221,221,0.000
41692,1.79,3.91,"0
",239,239,0.000
41693,1.77,4.08,"0
",245,245,0.000
41694,1.61,3.95,"0
",259,259,0.000
41695,1.59,22.40,"1000
",819,504,0.000
41696,1.53,19.30,"0
",1108,517,0.000
41697,1.51,18.00,"0
",1117,371,0.000
41698,1.50,22.90,"0
",1107,429,0.000
41699,1.48,17.90,"0
",1121,456,0.000
41700,1.47,17.80,"0
",1110,525,0.000
41701,1.49,18.20,"0
",1114,568,0.000
41702,1.51,17.60,"0
",1114,627,0.000
41703,1.44,21.70,"0
",1101,660,1.000
41704,1.49,18.50,"0
",1106,705,1.000
41705,1.48,13.50,"0
",1102,722,1.000
41706,10.00,44.40,"1000
",802,523,0.000
41707,6.68,16.40,"1000
",820,529,1.000
41708,4.62,22.50,"1000
",811,530,0.000
41709,3.19,9.57,"1000
",718,534,1.000
41710,2.60,10.30,"2000
",814,336,0.000
41711,2.51,21.60,"2000
",827,306,0.000
41712,2.01,11.10,"1000
",706,525,1.000
41714,1.77,23.00,"0
",258,258,0.000
41715,1.73,14.90,"2000
",809,406,1.000
41716,1.67,16.50,"2000
",801,523,0.000
41717,1.63,36.70,"2000
",806,482,0.000
41718,1.44,7.91,"0
",251,251,0.000
41719,1.36,11.30,"0
",231,231,0.000
41720,1.39,11.10,"0
",256,256,0.000
41721,1.38,11.70,"0
",802,536,0.000
41722,1.34,12.60,"0
",818,500,1.000
41723,1.39,13.40,"0
",820,502,1.000
41724,1.35,14.20,"0
",801,516,1.000
41725,1.35,15.40,"0
",806,523,1.000
41726,5.30,40.00,"1000
",806,526,0.000
41727,3.36,34.00,"1000
",817,528,0.000
41728,1.94,27.20,"0
",803,519,0.000
41729,3.30,32.90,"0
",807,521,1.000
41730,2.76,13.30,"1000
",828,520,0.000
41731,2.34,13.30,"1000
",819,509,0.000
41732,1.59,12.30,"1000
",818,509,1.000
41733,1.33,24.00,"1000
",827,522,1.000
41734,2.95,21.70,"1000
",806,527,1.000
41735,2.48,26.00,"2000
",802,523,0.000
41736,1.56,9.58,"1500
",817,618,1.000
41737,1.52,16.30,"1000
",813,503,1.000
41738,1.53,9.53,"1000
",722,505,1.000
41739,1.51,26.40,"1500
",825,623,1.000
41740,1.47,20.50,"1000
",815,533,1.000
41741,1.40,8.98,"1000
",721,504,1.000
41742,1.39,21.00,"1500
",801,602,1.000
41743,1.37,21.80,"1000
",807,526,1.000
41744,1.32,7.84,"1000
",720,502,1.000
41745,1.32,12.90,"1500
",814,618,1.000
41746,1.30,16.80,"1000
",812,717,1.000
41747,1.28,5.97,"1000
",728,513,1.000
41748,1.27,15.30,"1500
",801,801,1.000
41749,1.26,21.90,"1000
",809,716,1.000
41750,1.25,23.80,"1000
",800,523,1.000
41751,1.24,16.40,"1000
",806,406,1.000
41752,1.15,5.84,"1000
",815,534,0.000
41754,1.11,4.78,"0
",244,244,0.000
41755,1.11,7.22,"1000
",826,515,0.000
41756,1.11,8.12,"1000
",802,524,1.000
41757,1.12,1.09,"1000
",802,523,
41758,1.09,10.30,"1000
",811,523,1.000
41759,1.08,10.80,"1000
",801,520,1.000
41760,1.09,11.70,"1000
",814,502,1.000
41761,1.09,12.70,"1000
",825,513,1.000
41762,1.08,14.00,"1000
",813,526,1.000
41763,1.06,9.86,"0
",805,521,1.000
41764,1.03,9.72,"0
",818,527,1.000
41765,1.02,9.62,"0
",807,519,1.000
41766,1.01,13.70,"1500
",1104,529,0.000
41767,1.00,13.30,"500
",1111,550,1.000
41768,0.98,10.70,"500
",1103,572,1.000
41769,1.00,11.60,"500
",1116,522,1.000
41770,0.96,12.40,"500
",1112,519,1.000
41771,0.98,13.10,"1000
",812,525,1.000
41772,1.14,4.98,"500
",243,243,1.000
41773,1.10,1.10,"500
",220,220,0.000
41774,1.09,1.09,"500
",251,251,0.000
41775,1.08,1.08,"500
",247,247,0.000
41776,1.07,4.71,"500
",235,235,0.000
41777,1.06,1.06,"500
",222,222,0.000
41778,1.04,1.04,"500
",257,257,1.000
41779,1.04,1.04,"500
",225,225,0.000
41780,1.04,1.04,"500
",225,225,0.000
41781,1.03,7.51,"500
",248,248,0.000
41782,1.03,9.22,"500
",820,512,1.000
41783,1.02,9.80,"500
",814,531,1.000
41784,1.03,10.80,"500
",828,518,1.000
41785,1.32,7.27,"500
",244,244,1.000
41786,1.25,8.83,"500
",1109,568,0.000
41787,1.02,10.20,"500
",1105,561,1.000
41788,1.03,15.20,"500
",1110,570,1.000
41789,1.03,1.28,"350
",1101,473,0.000
41790,1.02,20.80,"350
",1102,469,1.000
41791,1.03,1.02,"350
",1108,477,0.000
41792,1.02,10.90,"350
",1104,475,1.000
41793,1.02,10.80,"350
",1200,451,1.000
41794,1.02,1.02,"350
",1208,467,0.000
41795,1.01,9.60,"350
",1201,479,1.000
41796,1.01,9.94,"350
",1215,476,1.000
41797,1.01,10.40,"350
",1207,465,1.000
41798,1.01,10.50,"350
",1202,479,1.000
41799,1.01,10.60,"350
",1217,476,0.000
41800,1.00,10.50,"350
",1213,472,1.000
41801,1.00,10.80,"350
",1211,470,0.000
41802,1.00,11.00,"350
",1208,454,1.000
41803,1.00,11.00,"350
",1206,455,1.000
41804,1.00,10.90,"350
",1211,462,1.000
41805,1.00,10.80,"350
",1205,450,1.000
41806,1.00,10.80,"350
",1212,466,0.000
41807,0.99,7.97,"350
",1208,451,0.000
41808,0.99,7.94,"350
",1201,568,1.000
41809,0.99,7.84,"350
",1214,580,1.000
41810,0.99,7.77,"350
",1215,554,1.000
41811,0.99,10.60,"350
",1205,479,1.000
41812,0.99,10.80,"350
",1203,478,1.000
41813,0.96,8.98,"350
",1205,472,1.000
41814,0.96,0.96,"350
",1201,458,0.000
41815,0.96,9.09,"350
",1212,472,1.000
41816,0.96,9.62,"350
",1206,484,1.000
41817,0.97,10.40,"350
",1204,452,1.000
41818,0.96,11.30,"350
",1210,469,1.000
41819,0.97,12.40,"350
",1212,476,0.000
41820,1.50,1.54,"1000
",817,529,0.000
41821,1.47,5.68,"1000
",807,524,1.000
41822,1.20,1.20,"
",0,0,
41823,1.19,8.45,"1000
",809,526,1.000
41824,1.48,14.10,"1000
",800,519,0.000
